Date,Highest Monthly Outdoor Tempreture,Lowest Monthly Outdoor Tempreture,Average Monthly Tempreture,Natural Gas Consumtion[m3],Global Warming Potential [kg CO2 eq],Acidification Potential [kg SO2 eq,HH Particulate [kg PM2.5 eq],Eutrophication Potential [kg N eq],Ozone Depletion Potential [kg CFC-11 eq],Smog Potential [kg O3 eq],Payable_Amount[IRR],Payable_Amount[USD],Month,Year,Season
2013-03-02,24.0,-3.0,14.0,13879,33329.50401184477,285.883162558758,17.051913791570165,2.8083221232019318,1.3397787252373538e-08,717.9895168248203,8327400,198.27142857142857,3,2013,Spring
2013-04-15,27.0,7.0,18.0,8669,20818.03229906206,178.56626098579673,10.650842327193729,1.7541137319718672,8.368428394756554e-09,448.46538809383725,5201400,123.84285714285714,4,2013,Spring
2013-05-14,33.0,13.0,22.0,1672,4015.1978318181755,34.44028012091962,2.054240208913129,0.33831793284772893,1.6140284088168137e-09,86.49603517048055,1003200,23.885714285714286,5,2013,Spring
2013-06-25,37.0,18.0,28.0,1844,4428.2444987277,37.983179750583595,2.2655615701171112,0.37312097378661013,1.7800648240778734e-09,95.39395266409458,1106400,26.34285714285714,6,2013,Summer
2013-07-29,42.0,19.0,32.0,1355,3253.943218967481,27.910633710434258,1.6647700257639293,0.2741751190243258,1.3080194341786976e-09,70.0969663014361,406500,9.678571428571429,7,2013,Summer
2013-10-06,32.0,8.0,19.0,2630,6315.771709139834,54.17340712800155,3.231251046316704,0.5321627771468463,2.5388126287010884e-09,136.05536632677263,789000,18.785714285714285,10,2013,Fall
2013-11-17,21.0,3.0,12.0,5736,13774.626054610679,118.15158299856155,7.047321673639777,1.1606409466594336,5.537121383357203e-09,296.7352019963376,1720800,40.97142857142857,11,2013,Fall
2013-12-24,17.0,-2.0,5.0,14144,33965.88405097863,291.3416997788798,17.377496121332115,2.8619430874391614,1.3653599171235055e-08,731.6985176144001,4243200,101.02857142857142,12,2013,Winter
2014-02-01,17.0,-7.0,5.0,16338,39234.630488185016,336.5342683107564,20.073072089248026,3.3058842026711694,1.577152879380927e-08,845.1986977364302,4901400,116.7,2,2014,Winter
2014-03-08,22.0,0.0,13.0,12763,30649.503545152736,262.8955114732638,15.68078216887456,2.582507043621749,1.2320481209168058e-08,660.2565172732316,3828900,91.16428571428571,3,2014,Spring
2014-04-20,30.0,-2.0,18.0,4598,11041.794037499982,94.71077033252894,5.649160574511105,0.9303743153312546,4.4385781242462375e-09,237.86409671882151,1708210,40.67166666666667,4,2014,Spring
